ProgramId,Owner,ProgramDataAddress,Authority,LastDeployedInSlot,DataLength,Balance
AmK5g2XcyptVLCFESBCJqoSfwV3znGoVYQnqEnaAZKWn,BPFLoaderUpgradeab1e11111111111111111111111,GYBoGtqZ83U4cTJYEop2T78cwWVkp9Wz8mw3BXL5eaUW,3sJA272X2N6JWLBjPMhUtNo5KykCto5BW1e4Bq6v1W6S,106623000,1000000 (0xf4240) bytes,6.96120408 SOL
Bt2WPMmbwHPk36i4CRucNDyLcmoGdC7xEdrVuxgJaNE6,BPFLoaderUpgradeab1e11111111111111111111111,8o8E4sqDPZXsuzK4SpZLkReXCHW2fEseBGbom9FaUAgC,2FEYoBJYzbT8BcorP5QcgapSXm6Tm8TsPMtoTPW3ZaAU,107413025,2652384 (0x2878e0) bytes,18.46179672 SOL
EUhdMrgEGhHwSt2ZEcuGVT3nNamAauSYd7vk7ch41Zb8,BPFLoaderUpgradeab1e11111111111111111111111,4Nv8if3MbXzR31x5f6UMiadvyHAzmaNWZdThKpYVL2KU,2F1H7SJwUKeDqtDhJDGxZo1aR2uT35iLjcPESEKsStzu,106182988,585360 (0x8ee90) bytes,4.07530968 SOL
8DSsC7VeihEk8YPr52tm1uiUEAQ3CZjo2zaiSnVZTXxr,BPFLoaderUpgradeab1e11111111111111111111111,4h2NC544UDuRczWamUJxZ5JpzU8GCXXRMcJABM4jaFpT,9k8bGNmrhTU9Bbt7XB2QSTZcbvahCQYn6ao5PKocKT2v,99725266,804592 (0xc46f0) bytes,5.6011644 SOL
HajXYaDXmohtq2ZxZ6QVNEpqNn1T53Zc9FnR1CnaNnUf,BPFLoaderUpgradeab1e11111111111111111111111,FyjNGwZPL4sYQqV1FYEmAt1LViWRLBmYd7ob8unczAXu,5jwBGfXVpcEY9Hqmw2hCu77NMnoMeVKzgKCChf82d1Te,88213269,964528 (0xeb7b0) bytes,6.71431896 SOL
ARoWLTBWoWrKMvxEiaE2EH9DrWyV7mLpKywGDWxBGeq9,BPFLoaderUpgradeab1e11111111111111111111111,CHK3X7tVrYebuyAcqqFVJVey2gsnTDkA58XaRzuYsKUx,5XH19SVEvTQj1eBhpBcctBi4y4rkuaNco9J6MMvtfEdW,104950110,1140176 (0x1165d0) bytes,7.93682904 SOL
J8KvNpeyKyZYWfHsBtds4fRLHXRaMU9aop43eagXffdU,BPFLoaderUpgradeab1e11111111111111111111111,8a7z9yGZTfPA8qx7bxKFmr33iphgeUDHhSVY7Jn325Ku,C18J89QhWVciZYNkSJGQFWXCThhTEmFS5PCqwvMHQ6y3,107434263,763072 (0xba4c0) bytes,5.3121852 SOL
JBn9VwAiqpizWieotzn6FjEXrBu4fDe2XFjiFqZwp8Am,BPFLoaderUpgradeab1e11111111111111111111111,6QKTrC8SMZ5AzFdqh1i4RXAQ2ANhsQJ2t9eUUNbUBzE,35vX7wyQNpGazJqgf9RjYmAhPTnQ1a6zS1VfP5m9nX4o,107138293,741482 (0xb506a) bytes,5.1619188 SOL
FACTNmq2FhA2QNTnGM2aWJH3i7zT3cND5CgvjYTjyVYe,BPFLoaderUpgradeab1e11111111111111111111111,HXJxvxDYfzGMuiBsXeKXizbu3hCheUU1TX2M44VvW2PX,GqpZxQAGeYhT1tUU2KJ1J5erTSrcWVGmovvzZZDxPsYq,99922546,376560 (0x5bef0) bytes,2.62206168 SOL
6CXbGX2yDfdThSZFUMfQ2Le65nv1z87gE7k5yo37VEc8,BPFLoaderUpgradeab1e11111111111111111111111,2PZ3TyXEAXfx6kUXFxbetW6Wno2xq3paNC89X3P6mpBX,GgF8AhcdiJ4hhyFaMoJ3XpQo9q7NgFnNaMQ6x6Xj3Lvt,107229445,604736 (0x93a40) bytes,4.21016664 SOL
